kcc_id,kcc_name,stage_id,station_id,kcc_type,kcc_nominal,kcc_max,kcc_min,Description
0,pv1_1,0,0,0,0,2,-2,Global part variation pattern (Bending)
1,pv1_2,0,0,0,0,2,-2,Global part variation pattern (Twisting)
2,pv2_1,0,0,0,0,2,-2,Global part variation pattern (Bending)
3,pv2_2,0,0,0,0,2,-2,Global part variation pattern (Twisting)
4,pinhole2_x,1,0,0,0,2,-2,Pin hole displacement in x
5,pinhole2_y,1,0,0,0,2,-2,Pin hole displacement in y
6,pinhole2_rot,1,0,0,0,1,-1,Rotation around Pin-hole
7,clamp_x_1,2,0,0,0,2,-2,clamp x deviation
8,clamp_y_1,2,0,0,0,2,-2,clamp y deviation
9,clamp_z_1,2,0,0,0,2,-2,clamp z deviation
10,clamp_x_2,2,0,0,0,2,-2,clamp x deviation
11,clamp_y_2,2,0,0,0,2,-2,clamp y deviation
12,clamp_z_2,2,0,0,0,2,-2,clamp z deviation
13,clamp_x_3,2,0,0,0,2,-2,clamp x deviation
14,clamp_y_3,2,0,0,0,2,-2,clamp y deviation
15,clamp_z_3,2,0,0,0,2,-2,clamp z deviation
16,tooling_x_1,3,0,0,0,2,-2,tooling x deviation
17,tooling_y_1,3,0,0,0,2,-2,tooling y deviation
18,tooling_z_1,3,0,0,0,2,-2,tooling z deviation
19,tooling_x_2,3,0,0,0,2,-2,tooling x deviation
20,tooling_y_2,3,0,0,0,2,-2,tooling y deviation
21,tooling_z_2,3,0,0,0,2,-2,tooling z deviation
22,tooling_x_3,3,0,0,0,2,-2,tooling x deviation
23,tooling_y_3,3,0,0,0,2,-2,tooling y deviation
24,tooling_z_3,3,0,0,0,2,-2,tooling z deviation
25,tooling_x_4,3,0,0,0,2,-2,tooling x deviation
26,tooling_y_4,3,0,0,0,2,-2,tooling y deviation
27,tooling_z_4,3,0,0,0,2,-2,tooling z deviation
28,tooling_x_5,3,0,0,0,2,-2,tooling x deviation
29,tooling_y_5,3,0,0,0,2,-2,tooling y deviation
30,tooling_z_5,3,0,0,0,2,-2,tooling z deviation
31,tooling_x_6,3,0,0,0,2,-2,tooling x deviation
32,tooling_y_6,3,0,0,0,2,-2,tooling y deviation
